Avatar:TheWayofWater | Gross: $684075767 | Release: 12/16/23 | Distributor: 20thCenturyStudios
Corsage | Gross: $705767 | Release: 12/23/23 | Distributor: IFCFilms

ItAin'tOver | Gross: $705355 | Release: 5/12/23 | Distributor: SonyPicturesEntertainment(SPE)

MasterGardener | Gross: $667114 | Release: 5/19/23 | Distributor: MagnoliaPictures

Shortcomings | Gross: $653780 | Release: 8/4/23 | Distributor: SonyPicturesClassics

ShinUltraman | Gross: $601490 | Release: 1/11/23 | Distributor: FathomEvents

TheThorn | Gross: $577004 | Release: 3/6/23 | Distributor: FathomEvents

TheWay2023Re-release | Gross: $567448 | Release: 5/16/23 | Distributor: FathomEvents

OfanAge | Gross: $556585 | Release: 2/17/23 | Distributor: FocusFeatures

Sweetwater | Gross: $541633 | Release: 4/14/23 | Distributor: BriarcliffEntertainment

Consecration | Gross: $538551 | Release: 2/10/23 | Distributor: IFCFilms

Sanctuary | Gross: $535202 | Release: 5/19/23 | Distributor: '-

Bottoms | Gross: $533978 | Release: 8/25/23 | Distributor: OrionPictures

AlltheBeautyandtheBloodshed | Gross: $500082 | Release: 11/23/23 | Distributor: '-

CrouchingTigerHiddenDragon2023Re-release | Gross: $451549 | Release: 2/17/23 | Distributor: SonyPicturesClassics

TheSon | Gross: $449650 | Release: 1/20/23 | Distributor: SonyPicturesClassics

AFather'sHeart | Gross: $447912 | Release: 5/1/23 | Distributor: FathomEvents

Passages | Gross: $415827 | Release: 8/4/23 | Distributor: MUBI

TheEssentialChurch | Gross: $412550 | Release: 7/28/23 | Distributor: AtlasDistributionCompany

MendingtheLine | Gross: $379890 | Release: 6/9/23 | Distributor: BlueFoxEntertainment

GoWest | Gross: $340017 | Release: 7/19/23 | Distributor: PurdieDistribution

Terrifier | Gross: $339946 | Release: 7/19/23 | Distributor: '-

Selfiee | Gross: $335775 | Release: 2/24/23 | Distributor: '-

TurnEveryPage:TheAdventuresofRobertCaroandRobertGottlieb | Gross: $335417 | Release: 12/30/23 | Distributor: SonyPicturesEntertainment(SPE)

CatVideoFest2023 | Gross: $327584 | Release: 8/4/23 | Distributor: Oscilloscope

WildLife | Gross: $326184 | Release: 4/14/23 | Distributor: Picturehouse

ChildrenoftheCorn | Gross: $325583 | Release: 3/3/23 | Distributor: '-

WaltairVeerayya | Gross: $320000 | Release: 1/13/23 | Distributor: '-

TheLesson | Gross: $310746 | Release: 7/7/23 | Distributor: '-

Psycho-Pass:Providence | Gross: $309757 | Release: 7/14/23 | Distributor: Crunchyroll

UFC291:Poiriervs.Gaethje2 | Gross: $308825 | Release: 7/29/23 | Distributor: '-

Joyland | Gross: $302550 | Release: 4/7/23 | Distributor: Oscilloscope

TheEightMountains | Gross: $302456 | Release: 4/28/23 | Distributor: VarianceFilms

MirandoAlCielo | Gross: $295539 | Release: 4/18/23 | Distributor: FathomEvents

SouthernGospel | Gross: $293496 | Release: 3/10/23 | Distributor: '-

SchoolofMagicalAnimals | Gross: $288414 | Release: 3/24/23 | Distributor: BlueFoxEntertainment

BorntoFly | Gross: $277011 | Release: 4/28/23 | Distributor: WellGoUSAEntertainment

Dreamin'Wild | Gross: $276672 | Release: 8/4/23 | Distributor: RoadsideAttractions

EveryBody | Gross: $273860 | Release: 6/30/23 | Distributor: FocusFeatures

RRRFanCelebRRRation2023Re-release | Gross: $256566 | Release: 3/3/23 | Distributor: VarianceFilms

Malum | Gross: $221738 | Release: 3/31/23 | Distributor: '-

OneFineMorning | Gross: $214470 | Release: 1/27/23 | Distributor: SonyPicturesEntertainment(SPE)

SaintOmer | Gross: $213953 | Release: 1/13/23 | Distributor: Neon

Afire | Gross: $204620 | Release: 7/14/23 | Distributor: SideshowReleasing

Lourdes2022Re-release | Gross: $197702 | Release: 2/8/23 | Distributor: FathomEvents

WhenYouFinishSavingtheWorld | Gross: $196920 | Release: 1/20/23 | Distributor: A24

LandscapewithInvisibleHand | Gross: $193829 | Release: 8/18/23 | Distributor: '-

EnysMen | Gross: $189579 | Release: 3/31/23 | Distributor: '-

TheConformist2023Re-release | Gross: $180135 | Release: 1/6/23 | Distributor: KinoLorber

Contempt4kRestoration-60thAnniversary | Gross: $173816 | Release: 6/30/23 | Distributor: RialtoPictures

TheWrathofBecky | Gross: $168109 | Release: 5/26/23 | Distributor: QuiverDistribution

TheStarlingGirl | Gross: $161290 | Release: 5/12/23 | Distributor: BleeckerStreetMedia

¡QuevivaMéxico! | Gross: $161222 | Release: 3/24/23 | Distributor: SonyPicturesEntertainment(SPE)

